Praznik;Mjesec;Temperatura;Tlak;PrijasnjaPotrosnja;Potrosnja
1;1;-4.8;1007.9;171.5;163.5
1;1;-2.9;1002.0;159.75;158.0
0;1;-7.5;1005.8;165.5;165.5
0;1;-3.6;1008.7;178.75;179.25
0;1;-3.3;1007.0;176.0;175.75
1;1;-3.8;1005.0;167.75;168.5
0;1;6.8;1003.8;173.5;173.75
1;1;11.4;1004.1;170.25;170.5
1;1;8.9;1003.7;166.25;165.75
0;1;4.9;1004.1;165.25;166.0
0;1;3.8;1002.6;178.0;176.5
0;1;4.1;999.9;NaN;NaN
0;1;3.2;1003.5;179.5;178.5
0;1;4.1;1001.0;173.25;171.75
1;1;1.0;1000.8;179.0;177.5
1;1;1.2;1013.3;159.5;157.5
0;1;-0.8;1012.1;155.0;153.75
0;1;-0.8;1009.8;174.0;171.25
0;1;-1.2;1008.1;171.75;168.5
0;1;2.5;1006.0;170.5;170.75
0;1;1.5;1008.1;171.5;169.25
1;1;-0.3;1010.8;168.5;168.25
1;1;-2.5;1007.1;175.75;171.75
0;1;-3.2;1004.2;163.5;163.5
0;1;-5.6;1004.1;171.0;170.5
0;1;-1.2;994.1;176.25;174.75
0;1;0.8;997.5;169.75;169.5
0;1;-0.5;1006.2;175.0;172.25
1;1;-2.1;1009.3;177.5;174.5
1;1;-1.5;1005.5;170.75;169.0
0;1;-1.2;1007.7;165.0;165.0
0;2;-2.3;1011.9;188.0;183.5
0;2;-3.5;1011.5;181.0;178.75
0;2;-2.5;1013.9;186.25;186.75
0;2;-4.1;1014.2;177.75;177.5
1;2;-2.4;1010.0;170.75;168.25
1;2;-2.3;1009.4;170.25;169.25
0;2;-2.0;1009.5;166.75;167.75
0;2;-2.4;1003.6;179.0;178.5
0;2;1.6;1008.9;176.0;176.25
0;2;-1.2;1009.8;179.0;178.0
0;2;-2.1;1003.5;186.0;184.5
1;2;8.0;997.2;175.75;174.5
1;2;1.9;1004.2;188.75;186.0
0;2;1.2;999.5;179.75;180.75
0;2;0.1;996.8;187.0;186.75
0;2;0.0;992.6;193.75;193.75
0;2;3.4;988.2;190.25;189.25
0;2;3.2;993.9;182.5;182.75
1;2;2.7;997.8;177.25;174.5
1;2;-0.4;1000.8;151.75;148.25
0;2;0.1;999.7;184.25;180.0
0;2;-2.6;999.8;187.25;187.5
0;2;-3.4;1005.3;181.25;181.5
0;2;-6.6;1012.0;174.75;175.75
0;2;-7.6;1011.9;180.5;180.75
1;2;-1.4;1012.3;181.25;176.75
