Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;Potrosnja
1;1;-4.0;169.0;167.0;165.75
1;1;-2.3;178.0;184.25;174.0
0;1;-5.8;219.0;271.0;205.0
0;1;-2.8;230.25;263.0;202.75
0;1;-3.2;230.75;267.5;201.5
1;1;3.8;185.25;195.25;179.25
0;1;11.6;194.0;206.25;183.75
1;1;11.0;193.25;198.25;183.75
1;1;11.6;190.0;192.75;180.5
0;1;5.9;220.25;254.0;203.5
0;1;4.1;244.0;281.0;219.0
0;1;1.1;225.5;284.75;204.25
0;1;6.3;240.5;291.25;220.5
0;1;3.8;226.25;264.5;202.75
1;1;3.1;178.0;182.5;171.5
1;1;2.0;176.0;179.75;168.75
0;1;3.2;229.25;256.5;210.0
0;1;-0.8;232.25;257.0;210.5
0;1;3.2;230.5;283.75;202.5
0;1;2.8;235.25;264.25;207.5
0;1;0.8;212.75;242.25;192.25
1;1;-0.7;192.5;196.75;184.75
1;1;-1.1;190.0;201.75;184.0
0;1;-2.1;255.75;290.0;211.5
0;1;-1.0;246.5;296.0;213.0
0;1;1.4;247.75;279.25;210.25
0;1;0.7;241.25;268.0;220.25
0;1;-0.1;225.75;242.5;212.5
1;1;-0.7;187.25;190.0;185.0
1;1;-0.9;180.75;182.5;179.25
0;1;-1.9;242.75;257.5;236.0
0;2;-3.9;230.25;249.25;219.0
0;2;-3.7;225.0;246.25;207.0
0;2;-4.3;230.0;242.5;220.25
0;2;-1.4;204.75;222.75;191.0
1;2;0.2;179.75;185.25;179.0
1;2;1.8;184.25;188.25;178.0
0;2;2.5;222.75;238.0;213.75
0;2;8.4;218.75;233.0;211.25
0;2;1.9;223.25;243.75;209.5
0;2;2.0;230.5;244.5;221.75
0;2;8.1;202.0;228.0;196.0
1;2;3.6;191.25;199.0;185.75
1;2;1.6;185.25;188.75;183.5
0;2;0.9;248.5;276.5;228.5
0;2;0.4;248.0;281.5;229.5
0;2;4.6;238.25;282.5;221.5
0;2;4.1;252.5;317.25;224.5
0;2;3.6;251.0;271.25;225.25
1;2;4.9;166.25;171.5;154.5
1;2;2.7;202.75;209.5;198.25
0;2;-1.8;258.75;303.5;228.25
0;2;-1.2;230.0;275.5;212.5
0;2;-3.9;226.0;257.75;206.75
0;2;-4.8;248.75;295.0;221.75
0;2;-0.3;223.0;248.0;216.0
1;2;-3.9;192.0;194.25;187.75
1;2;-1.2;203.5;213.25;197.0
0;2;0.2;253.5;283.5;235.0
0;3;0.0;257.25;282.75;235.75
0;3;-1.7;239.5;270.25;224.5
0;3;0.5;237.25;277.0;213.5
0;3;-2.1;222.5;247.0;213.5
1;3;-0.8;195.178832117;203.642335766;190.390510949
1;3;3.6;179.244525547;182.795620438;177.322344322
0;3;-3.5;247.996254682;300.379562044;210.937956204
0;3;-2.5;244.821011673;266.708;222.28125
0;3;-0.3;241.910505837;276.04296875;221.132
0;3;2.7;238.105058366;302.57421875;215.819607843
0;3;9.6;233.717647059;275.25;209.0546875
1;3;11.5;208.4765625;208.1640625;206.5703125
1;3;12.6;208.715953307;209.822834646;200.482490272
0;3;11.4;241.5;287.25;220.25
0;3;14.5;241.0;301.0;213.75
0;3;10.2;243.5;291.75;227.25
0;3;11.6;272.0;301.75;244.5
0;3;7.6;250.0;276.25;222.5
1;3;7.0;202.25;208.5;197.5
1;3;6.3;202.25;206.0;195.5
0;3;2.4;238.0;261.5;224.25
0;3;4.8;236.75;276.5;226.75
0;3;7.0;234.75;254.5;218.0
0;3;8.2;252.25;280.0;231.75
0;3;14.5;222.0;273.75;205.5
1;3;11.6;204.25;207.0;201.5
1;3;12.4;207.5;205.25;203.25
0;3;9.5;NaN;NaN;NaN
0;3;6.7;238.75;245.0;221.25
0;3;7.4;241.0;249.25;222.75
0;3;9.0;242.25;243.0;229.5
0;4;13.6;NaN;NaN;NaN
1;4;11.4;NaN;NaN;NaN
1;4;12.4;NaN;NaN;NaN
0;4;10.8;NaN;NaN;NaN
0;4;6.9;NaN;NaN;NaN
0;4;10.0;NaN;NaN;NaN
0;4;23.1;NaN;NaN;NaN
0;4;11.3;NaN;NaN;NaN
1;4;11.6;NaN;NaN;NaN
1;4;9.0;NaN;NaN;NaN
0;4;10.6;NaN;NaN;NaN
0;4;7.8;NaN;NaN;NaN
0;4;4.6;NaN;NaN;NaN
0;4;6.2;NaN;NaN;NaN
0;4;7.0;NaN;NaN;NaN
1;4;9.2;177.5;174.25;175.75
1;4;7.6;162.25;158.75;159.5
0;4;7.7;192.75;215.75;183.25
0;4;9.5;198.5;214.75;184.0
0;4;11.4;221.0;227.5;201.25
0;4;11.1;217.5;235.75;200.25
0;4;13.2;165.25;164.5;162.75
1;4;19.2;155.5;150.75;154.75
1;4;15.0;159.0;151.25;158.75
1;4;14.9;163.0;161.75;160.75
0;4;14.0;193.75;248.5;183.0
0;4;14.8;207.25;254.75;187.25
0;4;12.0;226.25;260.5;200.25
0;4;12.0;185.75;203.5;180.25
1;4;13.8;192.0;175.25;210.25
1;5;12.2;167.25;166.25;167.75
0;5;12.7;197.5;201.25;188.75
0;5;10.0;201.75;222.75;186.25
0;5;5.8;187.0;190.5;182.5
0;5;7.4;199.432234432;198.156934307;192.054744526
0;5;9.6;186.378723404;209.738589212;180.358649789
1;5;11.0;170.975308642;163.433884298;165.589211618
1;5;8.9;170.091666667;161.327659574;170.76446281
0;5;14.5;188.75;198.5;182.25
0;5;13.1;197.5;200.75;191.0
0;5;14.3;206.25;209.25;204.5
0;5;16.4;206.5;206.5;203.0
0;5;17.4;NaN;NaN;NaN
1;5;16.9;214.25;205.0;214.25
1;5;10.2;213.358974359;207.502242152;212.991701245
0;5;12.6;206.180995475;229.693023256;193.981651376
0;5;15.7;219.291304348;245.654867257;194.439655172
0;5;14.9;198.845454545;237.445945946;184.540178571
0;5;16.4;224.431111111;243.601851852;200.383966245
0;5;18.1;183.034782609;186.670995671;184.054298643
1;5;16.1;180.338383838;179.823529412;176.89119171
1;5;16.6;177.40625;171.0;168.164705882
0;5;18.9;222.331818182;262.793577982;207.254545455
0;5;18.6;214.686098655;233.034632035;202.852678571
0;5;18.0;202.0;239.5;193.0
0;5;17.1;204.703539823;216.688596491;197.352422907
0;5;21.3;196.995708155;208.215859031;191.708860759
1;5;13.6;168.449781659;168.439130435;165.103448276
1;5;13.8;164.567099567;161.483050847;168.274678112
0;5;17.5;214.206896552;228.415584416;205.343220339
0;5;19.0;199.564655172;231.356223176;200.666666667
