Praznik;Mjesec;Temperatura;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;1;-4.2;0.95;167.0;169.0
1;1;-1.4;0.91;184.25;178.0
0;1;-2.9;0.89;271.0;219.0
0;1;-2.8;0.83;263.0;230.25
0;1;-2.5;0.85;267.5;230.75
1;1;2.6;0.87;195.25;185.25
0;1;11.3;0.75;206.25;194.0
1;1;11.9;0.72;198.25;193.25
1;1;11.6;0.66;192.75;190.0
0;1;6.5;0.87;254.0;220.25
0;1;4.1;0.97;281.0;244.0
0;1;0.5;0.96;284.75;225.5
0;1;6.6;0.91;291.25;240.5
0;1;4.6;0.92;264.5;226.25
1;1;3.3;0.95;182.5;178.0
1;1;2.8;0.96;179.75;176.0
0;1;3.3;0.9;256.5;229.25
0;1;-0.6;0.98;257.0;232.25
0;1;3.5;0.96;283.75;230.5
0;1;3.1;0.56;264.25;235.25
0;1;1.2;0.63;242.25;212.75
1;1;-0.8;0.63;196.75;192.5
1;1;-0.4;0.62;201.75;190.0
0;1;-2.8;0.79;290.0;255.75
0;1;-0.7;0.79;296.0;246.5
0;1;1.4;0.83;279.25;247.75
0;1;0.9;0.91;268.0;241.25
0;1;-0.6;0.77;242.5;225.75
1;1;-0.5;0.72;190.0;187.25
1;1;-0.8;0.68;182.5;180.75
0;1;-1.7;0.79;257.5;242.75
0;2;-4.0;0.98;249.25;230.25
0;2;-5.0;0.88;246.25;225.0
0;2;-3.5;0.9;242.5;230.0
0;2;-0.7;0.87;222.75;204.75
1;2;1.1;0.81;185.25;179.75
1;2;2.2;0.79;188.25;184.25
0;2;3.5;0.74;238.0;222.75
0;2;6.3;0.6;233.0;218.75
0;2;2.8;0.78;243.75;223.25
0;2;2.3;0.79;244.5;230.5
0;2;8.0;0.61;228.0;202.0
1;2;3.6;0.54;199.0;191.25
1;2;1.8;0.93;188.75;185.25
0;2;0.8;0.81;276.5;248.5
0;2;0.4;0.87;281.5;248.0
0;2;4.7;0.89;282.5;238.25
0;2;3.9;0.94;317.25;252.5
0;2;3.6;0.86;271.25;251.0
1;2;5.0;0.84;171.5;166.25
1;2;3.1;0.67;209.5;202.75
0;2;-1.5;0.67;303.5;258.75
0;2;-1.2;0.78;275.5;230.0
0;2;-3.4;0.64;257.75;226.0
0;2;-4.1;0.75;295.0;248.75
0;2;-0.3;0.53;248.0;223.0
1;2;-3.1;0.81;194.25;192.0
1;2;-1.2;0.8;213.25;203.5
0;2;0.2;0.79;283.5;253.5
0;3;0.8;0.75;282.75;257.25
0;3;-1.7;0.88;270.25;239.5
0;3;0.3;0.77;277.0;237.25
0;3;-1.6;0.9;247.0;222.5
1;3;1.1;0.78;203.642335766;195.178832117
1;3;3.7;0.4;182.795620438;179.244525547
0;3;-2.6;0.62;300.379562044;247.996254682
0;3;-1.9;0.64;266.708;244.821011673
0;3;0.0;0.64;276.04296875;241.910505837
0;3;4.0;0.61;302.57421875;238.105058366
0;3;11.4;0.36;275.25;233.717647059
1;3;12.3;0.43;208.1640625;208.4765625
1;3;11.4;0.61;209.822834646;208.715953307
0;3;12.7;0.73;287.25;241.5
0;3;14.9;0.6;301.0;241.0
0;3;10.9;0.9;291.75;243.5
0;3;12.7;0.58;301.75;272.0
0;3;7.7;0.84;276.25;250.0
1;3;7.1;0.55;208.5;202.25
1;3;6.8;0.49;206.0;202.25
0;3;2.5;0.79;261.5;238.0
0;3;5.3;0.63;276.5;236.75
0;3;9.6;0.62;254.5;234.75
0;3;9.5;0.63;280.0;252.25
0;3;15.4;0.34;273.75;222.0
1;3;13.1;0.5;207.0;204.25
1;3;13.2;0.57;205.25;207.5
0;3;9.6;0.95;NaN;NaN
0;3;7.6;0.83;245.0;238.75
0;3;8.4;0.69;249.25;241.0
0;3;9.8;0.71;243.0;242.25
0;4;13.7;0.7;NaN;NaN
1;4;12.2;0.72;NaN;NaN
1;4;13.3;0.72;NaN;NaN
0;4;11.8;0.8;NaN;NaN
0;4;7.8;0.85;NaN;NaN
0;4;11.6;0.77;NaN;NaN
0;4;22.0;0.42;NaN;NaN
0;4;13.3;0.79;NaN;NaN
1;4;14.1;0.39;NaN;NaN
1;4;10.4;0.74;NaN;NaN
0;4;11.6;0.73;NaN;NaN
0;4;8.2;0.83;NaN;NaN
0;4;5.5;0.69;NaN;NaN
0;4;8.5;0.76;NaN;NaN
0;4;8.7;0.68;NaN;NaN
1;4;9.1;0.69;174.25;177.5
1;4;8.2;0.65;158.75;162.25
0;4;8.6;0.57;215.75;192.75
0;4;10.3;0.65;214.75;198.5
0;4;12.2;0.62;227.5;221.0
0;4;12.8;0.67;235.75;217.5
0;4;13.4;0.63;164.5;165.25
1;4;19.6;0.38;150.75;155.5
1;4;15.4;0.65;151.25;159.0
1;4;16.0;0.66;161.75;163.0
0;4;14.1;0.61;248.5;193.75
0;4;15.0;0.6;254.75;207.25
0;4;12.5;0.77;260.5;226.25
0;4;12.1;0.91;203.5;185.75
1;4;15.1;0.77;175.25;192.0
1;5;12.9;0.82;166.25;167.25
0;5;12.6;0.8;201.25;197.5
0;5;10.1;0.77;222.75;201.75
0;5;7.1;0.75;190.5;187.0
0;5;8.4;0.69;198.156934307;199.432234432
0;5;10.5;0.65;209.738589212;186.378723404
1;5;12.3;0.62;163.433884298;170.975308642
1;5;9.2;0.71;161.327659574;170.091666667
0;5;14.2;0.62;198.5;188.75
0;5;14.2;0.64;200.75;197.5
0;5;15.1;0.61;209.25;206.25
0;5;17.4;0.63;206.5;206.5
0;5;18.4;0.66;NaN;NaN
1;5;20.5;0.41;205.0;214.25
1;5;10.2;0.8;207.502242152;213.358974359
0;5;14.0;0.58;229.693023256;206.180995475
0;5;16.3;0.62;245.654867257;219.291304348
0;5;16.0;0.76;237.445945946;198.845454545
0;5;17.4;0.71;243.601851852;224.431111111
0;5;19.0;0.74;186.670995671;183.034782609
1;5;17.2;0.81;179.823529412;180.338383838
1;5;16.8;0.87;171.0;177.40625
0;5;19.1;0.86;262.793577982;222.331818182
0;5;20.0;0.72;233.034632035;214.686098655
0;5;19.5;0.53;239.5;202.0
0;5;18.0;0.61;216.688596491;204.703539823
0;5;24.2;0.44;208.215859031;196.995708155
1;5;14.2;0.89;168.439130435;168.449781659
1;5;14.9;0.72;161.483050847;164.567099567
0;5;18.3;0.68;228.415584416;214.206896552
0;5;20.1;0.81;231.356223176;199.564655172
