Praznik;Mjesec;Temperatura;PrijasnjaPotrosnja;Potrosnja
1;1;-3.9;165.75;163.0
1;1;-2.4;174.0;176.5
0;1;-6.5;205.0;187.5
0;1;-2.8;202.75;180.75
0;1;-4.0;201.5;180.25
1;1;3.9;179.25;176.25
0;1;11.1;183.75;175.5
1;1;10.6;183.75;172.75
1;1;8.7;180.5;171.0
0;1;4.9;203.5;187.25
0;1;4.1;219.0;199.25
0;1;4.0;204.25;186.25
0;1;6.4;220.5;199.0
0;1;3.7;202.75;187.5
1;1;2.9;171.5;165.0
1;1;1.9;168.75;163.0
0;1;3.1;210.0;192.5
0;1;-0.8;210.5;191.25
0;1;3.0;202.5;193.75
0;1;2.8;207.5;184.5
0;1;0.7;192.25;176.5
1;1;-0.7;184.75;181.75
1;1;-2.0;184.0;168.5
0;1;-1.9;211.5;192.5
0;1;-0.4;213.0;201.25
0;1;0.7;210.25;190.0
0;1;0.2;220.25;193.5
0;1;-0.1;212.5;190.5
1;1;-1.0;185.0;186.5
1;1;-1.1;179.25;176.0
0;1;-1.9;236.0;215.25
0;2;-3.7;219.0;198.75
0;2;-2.3;207.0;191.5
0;2;-4.5;220.25;199.5
0;2;-1.7;191.0;174.5
1;2;-0.6;179.0;177.25
1;2;1.3;178.0;170.5
0;2;1.5;213.75;196.25
0;2;7.7;211.25;191.5
0;2;1.8;209.5;192.25
0;2;1.5;221.75;203.0
0;2;9.0;196.0;189.5
1;2;3.4;185.75;186.25
1;2;1.0;183.5;185.25
0;2;0.9;228.5;214.5
0;2;0.4;229.5;215.5
0;2;4.2;221.5;202.25
0;2;4.0;224.5;203.75
0;2;3.5;225.25;187.5
1;2;4.7;154.5;151.5
1;2;2.3;198.25;193.25
0;2;-1.9;228.25;212.0
0;2;-1.6;212.5;198.75
0;2;-4.4;206.75;195.5
0;2;-5.7;221.75;201.75
0;2;-0.4;216.0;202.5
1;2;-3.7;187.75;180.5
1;2;-1.2;197.0;189.0
0;2;0.2;235.0;218.5
0;3;0.3;235.75;210.75
0;3;-1.8;224.5;199.75
0;3;0.2;213.5;200.25
0;3;-1.2;213.5;190.5
1;3;-1.5;190.390510949;182.675373134
1;3;1.8;177.322344322;179.182481752
0;3;-4.2;210.937956204;204.234432234
0;3;-2.9;222.28125;201.207843137
0;3;-0.6;221.132;207.21875
0;3;4.6;215.819607843;204.13671875
0;3;8.4;209.0546875;201.163424125
1;3;10.7;206.5703125;198.575875486
1;3;12.1;200.482490272;190.45703125
0;3;11.9;220.25;207.25
0;3;12.0;213.75;203.25
0;3;10.3;227.25;206.25
0;3;8.5;244.5;215.75
0;3;7.2;222.5;198.5
1;3;6.8;197.5;196.25
1;3;5.8;195.5;189.5
0;3;2.4;224.25;201.5
0;3;4.5;226.75;208.5
0;3;6.7;218.0;203.75
0;3;7.3;231.75;220.0
0;3;13.3;205.5;194.0
1;3;10.9;201.5;194.25
1;3;12.3;203.25;195.25
0;3;9.6;NaN;NaN
0;3;6.4;221.25;204.75
0;3;6.8;222.75;208.0
0;3;8.7;229.5;212.75
0;4;12.8;NaN;NaN
1;4;10.9;NaN;NaN
1;4;12.1;NaN;NaN
0;4;10.8;NaN;NaN
0;4;6.9;NaN;NaN
0;4;9.5;NaN;NaN
0;4;22.4;NaN;NaN
0;4;11.5;NaN;NaN
1;4;11.8;NaN;NaN
1;4;8.2;NaN;NaN
0;4;10.2;NaN;NaN
0;4;7.9;NaN;NaN
0;4;3.9;NaN;NaN
0;4;6.2;NaN;NaN
0;4;7.1;NaN;NaN
1;4;9.1;175.75;164.75
1;4;6.3;159.5;149.75
0;4;8.8;183.25;172.25
0;4;8.9;184.0;175.0
0;4;10.5;201.25;180.25
0;4;10.2;200.25;179.25
0;4;11.9;162.75;156.5
1;4;18.3;154.75;146.5
1;4;14.4;158.75;153.0
1;4;14.8;160.75;158.75
0;4;13.2;183.0;160.5
0;4;13.8;187.25;168.25
0;4;11.6;200.25;182.75
0;4;12.0;180.25;164.5
1;4;12.5;210.25;196.25
1;5;11.3;167.75;161.25
0;5;12.9;188.75;170.5
0;5;8.5;186.25;175.25
0;5;5.1;182.5;169.75
0;5;6.9;192.054744526;174.355311355
0;5;9.2;180.358649789;170.56846473
1;5;10.6;165.589211618;161.012244898
1;5;8.6;170.76446281;161.818181818
0;5;13.8;182.25;167.25
0;5;12.4;191.0;175.75
0;5;13.5;204.5;185.0
0;5;16.5;203.0;186.75
0;5;15.8;NaN;NaN
1;5;14.2;214.25;214.5
1;5;10.1;212.991701245;203.4
0;5;11.4;193.981651376;178.222772277
0;5;15.2;194.439655172;176.42173913
0;5;14.3;184.540178571;172.691666667
0;5;15.7;200.383966245;182.487394958
0;5;17.7;184.054298643;169.121621622
1;5;14.9;176.89119171;159.348039216
1;5;15.8;168.164705882;165.231182796
0;5;18.3;207.254545455;187.230769231
0;5;18.4;202.852678571;185.328947368
0;5;17.2;193.0;181.5
0;5;16.5;197.352422907;187.305676856
0;5;23.5;191.708860759;179.021551724
1;5;13.6;165.103448276;159.079831933
1;5;13.3;168.274678112;162.164556962
0;5;16.6;205.343220339;194.52173913
0;5;17.8;200.666666667;190.756302521
