6;1;-4.1;165.0
7;1;-0.4;184.5
1;1;-1.9;321.25
2;1;-3.7;323.5
3;1;-2.1;330.25
4;1;2.7;197.0
5;1;11.6;216.0
6;1;12.2;198.5
7;1;11.7;194.25
1;1;7.2;300.75
2;1;4.1;322.25
3;1;1.8;323.25
4;1;6.9;344.5
5;1;5.8;294.5
6;1;5.1;187.25
7;1;3.9;180.75
1;1;4.3;320.75
2;1;1.4;311.25
3;1;3.1;341.25
4;1;3.7;325.75
5;1;1.6;288.0
6;1;-0.5;205.25
7;1;0.6;206.25
1;1;-2.1;320.75
2;1;-0.3;322.5
3;1;2.0;323.0
4;1;0.9;307.25
5;1;-0.5;293.25
6;1;-0.2;192.5
7;1;-0.5;186.0
1;1;-1.2;295.5
2;2;-3.3;277.5
3;2;-4.2;282.5
4;2;-2.0;273.0
5;2;0.6;254.5
6;2;3.4;186.75
7;2;3.5;191.0
1;2;4.6;265.25
2;2;8.2;265.0
3;2;4.6;269.5
4;2;3.7;265.5
5;2;10.0;256.75
6;2;3.9;202.0
7;2;1.8;196.0
1;2;1.0;325.0
2;2;0.3;339.5
3;2;4.2;333.0
4;2;3.8;364.5
5;2;3.5;303.5
6;2;5.9;168.25
7;2;3.8;202.75
1;2;-1.1;334.5
2;2;-0.8;330.25
3;2;-1.6;323.0
4;2;-1.6;342.75
5;2;-0.9;285.5
6;2;-1.3;199.25
7;2;-0.8;218.75
1;2;0.0;324.75
2;3;1.1;329.0
3;3;-1.1;318.5
4;3;0.2;324.0
5;3;0.9;298.5
6;3;2.0;201.428571429
7;3;3.8;186.175182482
1;3;1.3;333.666666667
2;3;1.1;315.847058824
3;3;2.7;336.25
4;3;8.3;336.76171875
5;3;13.5;307.01953125
6;3;14.1;211.643137255
7;3;13.4;215.575875486
1;3;16.2;329.25
2;3;16.8;348.75
3;3;11.0;341.5
4;3;13.9;334.75
5;3;8.8;320.0
6;3;6.1;201.0
7;3;7.9;198.5
1;3;6.4;287.5
2;3;8.5;331.25
3;3;13.6;274.25
4;3;14.7;315.25
5;3;17.5;307.25
6;3;16.3;205.5
7;3;13.2;193.75
1;3;10.3;NaN
2;3;10.7;252.25
3;3;12.6;260.25
4;3;14.2;264.75
5;4;18.1;NaN
6;4;15.9;NaN
7;4;18.4;NaN
1;4;15.6;NaN
2;4;12.5;NaN
3;4;14.0;NaN
4;4;21.8;NaN
5;4;18.3;NaN
6;4;17.6;NaN
7;4;14.7;NaN
1;4;15.8;NaN
2;4;10.9;NaN
3;4;9.7;NaN
4;4;10.6;NaN
5;4;10.9;NaN
6;4;11.5;167.25
7;4;12.5;156.0
1;4;12.2;238.0
2;4;14.2;268.0
3;4;16.3;245.25
4;4;21.6;261.75
5;4;18.0;173.5
6;4;20.8;152.5
7;4;20.7;151.0
1;4;18.2;160.75
2;4;14.0;291.0
3;4;15.6;287.5
4;4;14.5;290.75
5;4;13.5;243.25
6;4;16.9;185.25
7;5;13.2;161.5
1;5;16.4;215.25
2;5;12.7;264.25
3;5;11.9;225.75
4;5;13.5;231.626373626
5;5;16.2;236.357142857
6;5;19.6;161.407407407
7;5;9.6;167.234042553
1;5;17.7;220.75
2;5;19.7;218.5
3;5;20.7;229.0
4;5;22.4;233.0
5;5;21.4;NaN
6;5;24.5;219.75
7;5;11.1;213.796460177
1;5;15.6;266.180094787
2;5;17.6;288.942731278
3;5;20.8;264.042372881
4;5;22.0;278.479820628
5;5;24.4;216.103004292
6;5;18.2;179.942307692
7;5;20.6;173.389423077
1;5;19.9;280.230088496
2;5;24.7;291.057268722
3;5;22.3;270.75
4;5;24.3;259.308370044
5;5;27.2;293.276595745
6;5;15.0;168.755458515
7;5;21.0;162.886075949
1;5;24.3;267.725321888
2;5;23.2;301.939914163
