6;1;-5.1;153.0
7;1;-2.8;161.25
1;1;-4.2;284.0
2;1;-2.9;276.5
3;1;-3.4;273.25
4;1;-3.2;165.75
5;1;8.1;195.75
6;1;11.1;170.75
7;1;5.3;164.25
1;1;4.9;266.5
2;1;3.7;278.5
3;1;4.2;NaN
4;1;3.4;312.5
5;1;3.2;254.5
6;1;3.4;178.0
7;1;1.5;154.5
1;1;-1.2;291.5
2;1;-0.6;286.5
3;1;-2.2;275.0
4;1;3.1;280.0
5;1;1.3;285.5
6;1;-0.4;178.25
7;1;-3.5;171.25
1;1;-4.1;290.25
2;1;-3.0;275.75
3;1;-1.1;265.25
4;1;1.7;278.75
5;1;-1.0;283.5
6;1;-3.1;188.75
7;1;-2.0;171.0
1;1;-1.4;277.5
2;2;-2.6;289.5
3;2;-3.6;286.25
4;2;-2.3;281.5
5;2;-4.5;270.75
6;2;-2.8;189.75
7;2;-2.8;170.75
1;2;-2.2;268.25
2;2;-2.6;292.25
3;2;2.2;274.5
4;2;-1.4;273.0
5;2;-2.1;261.25
6;2;9.6;170.75
7;2;2.4;176.25
1;2;1.4;286.5
2;2;0.6;285.25
3;2;0.7;303.0
4;2;2.0;306.5
5;2;2.9;293.0
6;2;0.8;164.25
7;2;0.6;142.75
1;2;-1.7;280.0
2;2;-2.8;286.75
3;2;-5.4;278.5
4;2;-5.4;268.5
5;2;-6.7;264.75
6;2;-1.4;173.25
7;2;-2.0;170.5
1;2;-1.3;282.5
2;3;-0.1;298.5
3;3;0.1;307.75
4;3;-1.8;281.0
5;3;0.1;266.5
6;3;0.3;180.390510949
7;3;-1.5;170.087912088
1;3;1.0;252.45620438
2;3;-2.3;283.614814815
3;3;-2.3;277.30078125
4;3;-1.2;285.902723735
5;3;2.8;275.3125
6;3;5.1;183.99609375
7;3;9.3;180.7421875
1;3;14.2;294.76953125
2;3;9.9;284.0
3;3;9.7;283.75
4;3;10.5;295.25
5;3;8.1;292.75
6;3;5.8;187.75
7;3;4.7;177.5
1;3;3.8;282.75
2;3;3.6;265.0
3;3;5.2;261.0
4;3;9.4;261.75
5;3;7.8;257.75
6;3;12.3;194.25
7;3;10.6;179.0
1;3;9.7;NaN
2;3;8.9;NaN
3;3;6.8;273.0
4;3;10.1;281.75
5;4;9.5;NaN
6;4;11.6;NaN
7;4;13.2;NaN
1;4;14.0;NaN
2;4;9.9;NaN
3;4;12.1;NaN
4;4;13.1;NaN
5;4;15.5;NaN
6;4;14.3;NaN
7;4;12.3;NaN
1;4;13.0;NaN
2;4;16.5;NaN
3;4;7.9;NaN
4;4;7.1;NaN
5;4;9.1;NaN
6;4;9.3;NaN
7;4;10.5;154.25
1;4;10.2;239.5
2;4;11.5;254.5
3;4;11.9;243.75
4;4;12.8;244.5
5;4;14.2;241.0
6;4;14.6;151.0
7;4;17.2;136.25
1;4;14.2;143.5
2;4;12.2;238.25
3;4;14.8;235.5
4;4;11.9;236.5
5;4;12.5;259.75
6;4;13.3;158.0
7;5;13.1;145.0
1;5;13.3;214.0
2;5;17.0;231.0
3;5;9.3;NaN
4;5;12.1;220.25
5;5;11.7;236.149635036
6;5;12.5;159.404958678
7;5;16.4;144.545081967
1;5;13.9;225.5
2;5;16.3;227.5
3;5;18.3;244.0
4;5;16.9;229.25
5;5;17.8;NaN
6;5;18.7;NaN
7;5;15.8;178.650684932
1;5;14.6;293.518218623
2;5;16.0;244.62
3;5;15.3;247.273542601
4;5;19.2;251.067460317
5;5;20.6;221.004385965
6;5;21.3;166.056074766
7;5;16.3;143.81938326
1;5;20.4;246.187793427
2;5;20.7;263.487068966
3;5;22.9;256.947136564
4;5;19.6;251.907079646
5;5;20.9;257.086956522
6;5;12.6;161.088495575
7;5;16.7;145.35021097
1;5;19.3;262.611814346
2;5;22.0;250.122881356
