Praznik;Mjesec;PrijasnjaPotrosnja;Potrosnja
1;1;171.5;171.5
1;1;161.25;159.75
0;1;166.25;165.5
0;1;179.0;178.75
0;1;175.0;176.0
1;1;168.0;167.75
0;1;175.0;173.5
1;1;171.75;170.25
1;1;166.5;166.25
0;1;165.5;165.25
0;1;176.25;178.0
0;1;NaN;NaN
0;1;177.25;179.5
0;1;172.0;173.25
1;1;180.5;179.0
1;1;160.75;159.5
0;1;155.75;155.0
0;1;178.0;174.0
0;1;173.0;171.75
0;1;172.0;170.5
0;1;169.5;171.5
1;1;171.0;168.5
1;1;176.25;175.75
0;1;163.25;163.5
0;1;170.5;171.0
0;1;180.25;176.25
0;1;170.75;169.75
0;1;172.75;175.0
1;1;177.0;177.5
1;1;174.25;170.75
0;1;166.75;165.0
0;2;186.75;188.0
0;2;180.0;181.0
0;2;182.5;186.25
0;2;179.0;177.75
1;2;172.5;170.75
1;2;169.5;170.25
0;2;167.5;166.75
0;2;177.25;179.0
0;2;176.5;176.0
0;2;179.25;179.0
0;2;186.5;186.0
1;2;177.5;175.75
1;2;187.5;188.75
0;2;178.75;179.75
0;2;187.25;187.0
0;2;194.0;193.75
0;2;189.0;190.25
0;2;183.5;182.5
1;2;185.25;177.25
1;2;151.75;151.75
0;2;184.25;184.25
0;2;190.75;187.25
0;2;181.25;181.25
0;2;174.0;174.75
0;2;179.5;180.5
1;2;184.25;181.25
1;2;185.25;182.0
0;2;181.5;179.75
0;3;188.25;188.5
0;3;189.25;187.25
0;3;180.75;181.5
0;3;176.75;177.25
1;3;179.0;176.25
1;3;179.452554745;176.47810219
0;3;171.682481752;172.315018315
0;3;183.963898917;183.329710145
0;3;186.876494024;186.86770428
0;3;195.62890625;194.1875
0;3;186.175097276;184.6875
1;3;190.417670683;183.49609375
1;3;188.763052209;187.490272374
0;3;184.688715953;185.106299213
0;3;188.0;187.0
0;3;186.25;185.0
0;3;187.0;184.75
0;3;188.0;187.75
1;3;186.5;184.0
1;3;186.25;185.5
0;3;181.5;180.0
0;3;184.75;185.75
0;3;187.25;187.0
0;3;194.25;193.666666667
0;3;189.25;188.0
1;3;187.75;184.0
1;3;NaN;196.75
0;3;NaN;NaN
0;3;NaN;NaN
0;3;191.5;190.666666667
0;3;193.25;193.0
0;4;NaN;NaN
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;NaN;NaN
1;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
0;4;NaN;NaN
1;4;NaN;NaN
1;4;147.75;147.75
0;4;141.5;142.5
0;4;151.75;151.25
0;4;157.0;156.25
0;4;152.5;150.5
0;4;151.5;151.75
1;4;146.25;145.5
1;4;143.0;141.0
1;4;143.25;142.5
0;4;141.75;140.25
0;4;150.25;150.25
0;4;152.5;151.25
0;4;158.75;158.5
1;4;159.75;158.5
1;5;179.0;176.25
0;5;152.75;153.5
0;5;150.75;150.25
0;5;167.0;NaN
0;5;154.75;153.75
0;5;154.620437956;155.382352941
1;5;155.367768595;153.157676349
1;5;156.493775934;155.265560166
0;5;150.75;152.0
0;5;152.25;152.5
0;5;158.5;158.0
0;5;165.0;163.0
0;5;NaN;NaN
1;5;NaN;NaN
1;5;187.25;182.75
0;5;179.93877551;175.079497908
0;5;154.858870968;154.421052632
0;5;150.49339207;148.055319149
0;5;145.241935484;145.457831325
0;5;154.791878173;153.805194805
1;5;152.966824645;150.413636364
1;5;147.353982301;146.163090129
0;5;147.823529412;146.938596491
0;5;157.113537118;157.627705628
0;5;160.386666667;159.107758621
0;5;157.5;156.25
0;5;163.029535865;161.679487179
1;5;161.513043478;157.151515152
1;5;155.560869565;154.200854701
0;5;149.769911504;150.449152542
0;5;162.868644068;160.225531915
